"id","name","street_line_1","street_line_2","postcode","city","region_in_country","country","phone","fax","nace","ibid_description","trade_description"
897,"HI3G HOLDINGS AB","BOX 30213","","104 25","STOCKHOLM","Stockholm","Sweden","+46 77 1735300","",6420,"Activities of holding companies","Holding company primarily engaged in the management and administration of its subsidiaries and affiliates"
956,"BETEILIGUNGSGESELLSCHAFT DES LANDES BADEN-WUERTTEMBERG MBH","SCHLOSSPLATZ, 4","MITTE",70173,"STUTTGART","Baden-Wuerttemberg","Germany","+49 711 123","+49 711 123",7010,"Activities of head offices","Engaged in the acquisition, management and sale of partner's interests on behalf of the Land Baden-Württemberg"
998,"BAXI HOLDINGS LIMITED","BROOKS HOUSE COVENTRY ROAD","","CV34 4LL","WARWICK","England","United Kingdom","+44 1926836000","",7010,"Activities of head offices","A holding company."
1014,"FIELMANN HOLDING B.V.","DR. POELSSTRAAT, 63 C","","7572 ZV","OLDENZAAL","Overijssel","Netherlands","+31 541 581050","",6420,"Activities of holding companies","Engaged in the management activities of a holding company"
1038,"BURLINGTOWN LLP","3RD FLOOR","25 PARK LANE","W1K 1RA","LONDON","England","United Kingdom","","",1107,"Manufacture of soft drinks; production of mineral waters and other bottled waters","A group engaged in the processing and wholesale distribution of frozen and non-frozen concentrated orange juice."
1066,"BARD SHANNON LIMITED","ARTHUR COX BUILDING","EARLSFORT TERRACE","","DUBLIN 2","Leinster","Ireland","","",7010,"Activities of head offices","Holding company that is engaged in the manufacture and distribution of health care products, including catheter"
1094,"AVRIL POLE VEGETAL","11 RUE DE MONCEAU","",75008,"PARIS","Ile-De-France","France","","",6420,"Activities of holding companies","Operates as the management holding firm of a group that is active in the edible oils industry (pressing, refining)"
1112,"FIN.FER. SPA","ZIN INDUSTRIALE RIVOLI, SNC","",33010,"OSOPPO","Friuli-Venezia Giulia","Italy","+39 0432062825","",7010,"Activities of head offices","Holds various firms involved in the provision of financial products and services"
1131,"SUPERGA INVEST","23 RUE DE LA PAIX","",75002,"PARIS","Ile-De-France","France","","",7010,"Activities of head offices","Engaged in the management activities of a holding company"
1151,"YOUTRADE S.P.A.","VIA STEZZANO, SNC","",24126,"BERGAMO","Lombardia","Italy","+39 0353846911","",3514,"Trade of electricity","Engaged in the provision of electric services"
